data	data	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	62	1242	1174	1800	1	1	1	1	1	590	964	1002	864	1780	2	212	1	60	1	1	1	28	1006	68	1	1	960	
data	data	Left-Cerebral-Exterior	Left-Cerebral-White-Matter	Left-Cerebral-Cortex	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-Exterior	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	Left-Insula	Left-Operculum	Line-1	Line-2	Line-3	CSF	Left-Lesion	Left-Accumbens-area	Left-Substancia-Nigra	Left-VentralDC	Left-undetermined	Left-vessel	Left-choroid-plexus	Left-F3orb	Left-lOg	Left-aOg	Left-mOg	Left-pOg	Left-Stellate	Left-Porg	Left-Aorg	Right-Cerebral-Exterior	Right-Cerebral-White-Matter	Right-Cerebral-Cortex	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-Exterior	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Insula	Right-Operculum	Right-Lesion	Right-Accumbens-area	Right-Substancia-Nigra	Right-VentralDC	Right-undetermined	Right-vessel	Right-choroid-plexus	Right-F3orb	Right-lOg	Right-aOg	Right-mOg	Right-pOg	Right-Stellate	Right-Porg	Right-Aorg	5th-Ventricle	Left-Interior	Right-Interior	100Parcels7Networks_75	100Parcels7Networks_76	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Left-F1	Right-F1	Optic-Chiasm	Left_future_WMSA	Right_future_WMSA	future_WMSA	100Parcels7Networks_89	100Parcels7Networks_90	100Parcels7Networks_91	100Parcels7Networks_92	100Parcels7Networks_93	100Parcels7Networks_94	100Parcels7Networks_95	Left-Amygdala-Anterior	Right-Amygdala-Anterior	Dura	100Parcels7Networks_99	Left-wm-intensity-abnormality	Left-caudate-intensity-abnormality	Left-putamen-intensity-abnormality	Left-accumbens-intensity-abnormality	Left-pallidum-intensity-abnormality	Left-amygdala-intensity-abnormality	Left-hippocampus-intensity-abnormality	Left-thalamus-intensity-abnormality	Left-VDC-intensity-abnormality	Right-wm-intensity-abnormality	Right-caudate-intensity-abnormality	Right-putamen-intensity-abnormality	Right-accumbens-intensity-abnormality	Right-pallidum-intensity-abnormality	Right-amygdala-intensity-abnormality	Right-hippocampus-intensity-abnormality	Right-thalamus-intensity-abnormality	Right-VDC-intensity-abnormality	Epidermis	Conn-Tissue	SC-Fat-Muscle	Cranium	CSF-SA	Muscle	Ear	Adipose	Spinal-Cord	Soft-Tissue	Nerve	Bone	Air	Orbital-Fat	Tongue	Nasal-Structures	Globe	Teeth	
1	Left-Cerebral-Exterior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Cerebral-White-Matter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Cerebral-Cortex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Lateral-Ventricle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Inf-Lat-Vent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Cerebellum-Exterior	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Cerebellum-White-Matter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	Left-Cerebellum-Cortex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
